"title","type","event","date","url","abstract","block","category","short_location"
"Some Extreme Regimes of the Laplace Operator","Workshop","2026 Simons Collaboration on Localization of Waves Annual Meeting","2026-02-19","https://www.simonsfoundation.org/event/simons-collaboration-on-the-localization-of-waves-annual-meeting-2026/","","The Hot Spots Conjecture","research","Flatiron Institute"
"Worst-case starts for diffusion processes: The hot spots conjecture","Seminar","NYU CDS MaD Seminar","2026-02-11","https://cds.nyu.edu/mad/","A common way to generate samples from random variables is through diffusion processes. For instance, to obtain a uniformly sampled point on a given set, we run a random walk on the set for a long enough time. For non-uniform random variables, we run the appropriate Langevin dynamics. In practice, this raises a basic worst-case question: where can you start so that mixing (exploration) of the random walk is as slow or ""unlucky"" as possible? Which initial regions are particularly bad? This question was classically posed by mathematical physicists, in the language of heat flow, as the ""Hot Spots"" Conjecture. Informally, it predicts that the most extreme behavior should occur at the boundary. The conjecture sits at an intersection of diffusion processes and high-dimensional geometry, and has been understood as a stepping stone toward conjectures such as Kannan-Lovász-Simonovits (KLS). But the Hot Spots Conjecture is false, even for convex sets. In this talk, I'll reinterpret it through a diffusion/sampling lens and explain what its failure really means for algorithms.","The Hot Spots Conjecture","research","NYU CDS"
"Sampling the hardest simple random variables","Seminar","CRM — Mathematical Foundations of Machine Learning (Barcelona)","2026-01-08","https://www.crm.cat/mathematical-foundations-of-machine-learning-pdes-probability-and-dynamics-2/","","Sampling lower bounds","research","CRM, Barcelona"
"The hot spots conjecture is false: how false is it?","Conference","Joint Mathematics Meetings 2026 (Washington, D.C.)","2026-01-05","https://jointmathematicsmeetings.org/jmm","","The Hot Spots Conjecture","research","JMM, Washington D.C."
"Convex sets can have interior hot spots","Seminar","Instituto de Ciencias Matemáticas (ICMAT) Seminar","2025-09-01","","A homogeneous, insulated object with a non-uniform initial temperature will eventually reach thermal equilibrium. The Hot Spots conjecture addresses which point in the object takes the longest to reach this equilibrium: Where is the maximum temperature attained as time progresses? Rauch initially conjectured that points attaining the maximum temperature would approach the boundary for larger times. Burdzy and Werner disproved the conjecture for planar domains with holes. Kawohl, and later Banuelos- Burdzy, conjectured that the conjecture should still hold for convex sets of all dimensions. This talk will draw inspiration from a recurrent theme in convex anal- ysis: almost every dimension-free result in convex analysis has a natural log-concave extension. We will motivate and construct the log-concave ana- log of the Hot Spots conjecture, and then disprove it. Using this log-concave construction, we will show that the hot spots conjecture for convex sets is false in high dimensions.","The Hot Spots Conjecture","research","ICMAT, Madrid"
"Convex sets can have interior hot spots","Conference","ISM Discovery School — Interactions between Convex Geometry and Spectral Analysis (Montreal)","2025-07-31","https://mypage.concordia.ca/alcor/astancu/school.html","A homogeneous, insulated object with a non-uniform initial temperature will eventually reach thermal equilibrium. The Hot Spots conjecture addresses which point in the object takes the longest to reach this equilibrium: Where is the maximum temperature attained as time progresses? Rauch initially conjectured that points attaining the maximum temperature would approach the boundary for larger times. Burdzy and Werner disproved the conjecture for planar domains with holes. Kawohl, and later Banuelos- Burdzy, conjectured that the conjecture should still hold for convex sets of all dimensions. This talk will draw inspiration from a recurrent theme in convex anal- ysis: almost every dimension-free result in convex analysis has a natural log-concave extension. We will motivate and construct the log-concave ana- log of the Hot Spots conjecture, and then disprove it. Using this log-concave construction, we will show that the hot spots conjecture for convex sets is false in high dimensions.","The Hot Spots Conjecture","research","ISM, Montreal"
"The hot spots conjecture is false: how false is it?","Seminar","UK Spectral Theory Network Workshop (University of Reading)","2025-08-01","https://sites.google.com/view/uk-st/events/workshop-4-reading","","The Hot Spots Conjecture","research","U. Reading"
"The hot spots conjecture is false: how false is it?","Seminar","Workshop on Spectral Geometry, PDEs and Mathematical Physics (FernUni Hagen)","2025-07-01","https://www.fernuni-hagen.de/analysis/en/research/events/workshop-spectral-geometry.shtml","","The Hot Spots Conjecture","research","FernUni Hagen"
"Sharp Hot Spots","Seminar","Fourier Analysis and Beyond I (IMPA, Rio de Janeiro)","2025-07-22","https://impa.br/evento/fourier-analysis-beyond-i/","","The Hot Spots Conjecture","research","IMPA, Rio de Janeiro"
"Generació de variables aleatòries","Minicourse","Valentia Matemàtica","2025-06-16","","Generació de variables aleatòries (Jaume de Dios Pont, ETH Zurich). Com generem, en un ordinador, variables aleatòries? Per a algunes variables aleatòries molt concretes (gaussianes, distribucions uniformes...) tenim fórmules per a generar-les eficientment. Però què passa per a variables aleatòries generals en dimensions molt altes? Com a exemple, podem intentar generar un element de la distribució de possibles fotografies de gats. Les imatges de 512px × 512px (×3 colors) són elements d'un espai de gairebé un milió de dimensions. En aquest curs aprendrem alguns dels algorismes més coneguts per a generar variables aleatòries, i veurem la relació d'aquests mètodes amb desigualtats funcionals, teoria espectral, i equacions en derivades parcials.","Minicourse","","Valencia"
"Long thin convex sets","Seminar","ETHZ Analysis Seminar (hosted by Yuansi Chen)","2025-05-01","","","The Hot Spots Conjecture","research","ETH Zurich"
"Convex sets can have interior hot spots","Seminar","LSEC Seminar","2025-04-01","","A homogeneous, insulated object with a non-uniform initial temperature will eventually reach thermal equilibrium. The Hot Spots conjecture addresses which point in the object takes the longest to reach this equilibrium: Where is the maximum temperature attained as time progresses? Rauch initially conjectured that points attaining the maximum temperature would approach the boundary for larger times. Burdzy and Werner disproved the conjecture for planar domains with holes. Kawohl, and later Banuelos- Burdzy, conjectured that the conjecture should still hold for convex sets of all dimensions. This talk will draw inspiration from a recurrent theme in convex anal- ysis: almost every dimension-free result in convex analysis has a natural log-concave extension. We will motivate and construct the log-concave ana- log of the Hot Spots conjecture, and then disprove it. Using this log-concave construction, we will show that the hot spots conjecture for convex sets is false in high dimensions.","The Hot Spots Conjecture","research","LSEC, Beijing"
"Convex sets can have interior hot spots","Seminar","University of Edinburgh Analysis Seminar","2025-03-01","https://blogs.ed.ac.uk/analysis/analysis-seminar/","A homogeneous, insulated object with a non-uniform initial temperature will eventually reach thermal equilibrium. The Hot Spots conjecture addresses which point in the object takes the longest to reach this equilibrium: Where is the maximum temperature attained as time progresses? Rauch initially conjectured that points attaining the maximum temperature would approach the boundary for larger times. Burdzy and Werner disproved the conjecture for planar domains with holes. Kawohl, and later Banuelos- Burdzy, conjectured that the conjecture should still hold for convex sets of all dimensions. This talk will draw inspiration from a recurrent theme in convex anal- ysis: almost every dimension-free result in convex analysis has a natural log-concave extension. We will motivate and construct the log-concave ana- log of the Hot Spots conjecture, and then disprove it. Using this log-concave construction, we will show that the hot spots conjecture for convex sets is false in high dimensions.","The Hot Spots Conjecture","research","U. Edinburgh"
