"title","location","date","date_end","url"
"UK Spectral Theory Network Workshop","University of Reading","2025-08-26","2025-08-29","https://sites.google.com/view/uk-st/events/workshop-4-reading"
"Workshop on spectral geometry, PDEs and mathematical physics","FernUni Hagen","2025-07-28","2025-07-30",""
"Flatiron Institute","New York","2025-07-14","2025-07-25",""
"Fourier Analysis and Beyond I","IMPA","2025-06-30","2025-07-04","https://impa.br/evento/fourier-analysis-beyond-i/"
"Summer school in PDE and Probability","Sorbonne Université","2025-06-23","2025-06-27",""
"Valentia Matematica","Valencia","2025-06-16","2025-06-19",""
"Modern trends in Fourier Analysis","CRM Barcelona","2025-06-02","2025-06-06","https://www.crm.cat/conference-modern-trends-in-fourier-analysis/"
"Camille Jordan Institute in Lyon (Analysis Seminar)","Lyon","2025-03-10","2025-03-12","https://indico.math.cnrs.fr/event/12874/"
"University of Edinburgh (Analysis Seminar)","University of Edinburgh","2025-03-01","2025-03-04","https://blogs.ed.ac.uk/analysis/analysis-seminar/"
"Virginia Tech (Analysis Seminar)","Virginia Tech","2025-02-23","2025-02-27","https://math.vt.edu/calendar.html"
"Simon's collaboration on wave localization: Annual Meeting.","Flatiron Institute, NY","2025-02-20","2025-02-21","https://cse.umn.edu/wave/events/2025-simons-collaboration-localization-waves-annual-meeting"
"MPS Workshop on Computation in Mathematics","Flatiron Institute, NY","2025-02-18","2025-02-18","https://www.simonsfoundation.org"
"Seminari d'Analisi UAB-UB","Universitat Autonoma de Barcelona","2025-01-13","2025-01-17","#"
"Boolean Analysis in Computer Science","Hausdorff Institute of Mathematics, Bonn","2024-10-11","2024-10-25","https://www.mathematics.uni-bonn.de/him/programs/current-trimester-program/him-dual-trimester-program-boolean-analysis-in-computer-science"
"Quantum Signal Processing","MFO Oberwolfach","2024-10-06","2024-10-11","https://www.mfo.de/occasion/2441"
"Uniformity and Stability of Oscillatory Integrals","Hausdorff Center for Mathematics, Bonn","2024-07-08","2024-07-12","#"
"Barcelona Analysis Conference","Barcelona","2024-06-03","2024-06-03","https://www.crm.cat/barcelona-analysis-conference-bac24/"
"Dual Trimester Program: Synergies between modern probability, geometric analysis and stochastic geometry","Hausdorff Institute of Mathematics, Bonn","2024-01-08","2024-01-31","#"
"NTNU visit","Hausdorff Institute of Mathematics, Bonn","2023-10-20","2023-11-03",""
"Microsoft Research Internship","Seattle, WA","2023-05-30","2023-09-01","#"
"University of Rochester","Rochester, NY","2023-05-22","2023-05-25","#"
"Stanford University","Palo Alto, California","2022-10-17","2022-10-28","#"
"Nodal domains and landscape functions","Kopp, Germany","2022-10-02","2022-10-07","https://www.math.uni-bonn.de/ag/ana/WiSe2223/summer_school/"
"University of Minneapolis","UMN, Minneapolis","2022-09-07","2022-09-28","#"
"Harmonic analysis on manifolds summer school","UW Madison, WI","2022-08-01","2022-08-05","https://sites.google.com/view/2022summerschool/main-page"
"COLT","London","2022-07-02","2022-07-05","http://learningtheory.org/colt2022/"
"Fourier Analysis @200","ICMS, Edinburgh","2022-06-23","2022-07-01","https://www.icms.org.uk/workshops/2022/fourier-analysis-200"
"Workshop on Analysis and PDEs","CRM -  Barcelona","2022-06-23","2022-06-23","https://www.crm.cat/workshop-on-analysis-and-pdes//"
"Princeton Machine Learning Theory Summer School 2022","Princeton","2022-06-13","2022-06-17","https://mlschool.princeton.edu/"
"Analysis on the hypercube with applications to quantum computing","AIM, San Jose","2022-06-06","2022-06-10","https://aimath.org/workshops/upcoming/hypercubequantum/"
"CBMS Conference","FSU, Tallahasee","2022-05-21","2022-05-28","https://cbms2020.math.fsu.edu/"
"ETH Zurich","Visiting Joao P. Ramos","2022-03-14","2022-03-19","https://math.ethz.ch/"
"Basque Center for Applied Mathematics","Visiting Mateus Costa da Sousa.","2022-03-08","2022-03-14","http://www.bcamath.org/en/"
"Interactions between Geometric measure theory, Singular integrals, and PDE","Hausdorff Institute of Mathematics, Bonn","2022-01-23","2022-03-05","https://www.him.uni-bonn.de/programs/current-trimester-program/harmonic-analysis-and-analytic-number-theory/description/"
"Summer School on discrete analysis and complexity of quantum algorithms","Online","2021-10-11","2021-10-15","https://sites.google.com/view/paata/quantum"
"Brascamp-Lieb inequalities Summer School","Wolffhotel, Kopp, Germany","2021-09-26","2021-10-01","https://www.math.uni-bonn.de/ag/ana/WiSe2122/BL-school/"
"Harmonic Analysis and Analytic Number Theory, Dual trimester program","Hausdorff Mathematical Institute, Bonn","2021-08-01","2021-08-20","https://www.him.uni-bonn.de/programs/current-trimester-program/harmonic-analysis-and-analytic-number-theory/description/"
"Harmonic Analysis and Analytic Number Theory, Dual trimester program","Hausdorff Mathematical Institute, Bonn","2021-05-03","2021-06-26","https://www.him.uni-bonn.de/programs/current-trimester-program/harmonic-analysis-and-analytic-number-theory/description/"
"Visit to Brown University","Brown University, Providence, RI","2026-05-01","2026-05-02",""
"Isaac Newton Institute - Geometric Spectral theory and Applications","Cambridge, UK","2026-02-21","2026-03-08","https://www.newton.ac.uk/event/sgc/"
"COST mSPACE Kick-off Meeting","Milan, Italy","2026-03-16","2026-03-19","https://sites.google.com/view/mspacekickoff/"
"SMS Spring Meeting: Formalization and Proof Assistants","UniDistance Suisse, Brig, Switzerland","2026-03-25","2026-03-27","https://unidistance.ch/en/mathematics-and-computer-science/event/sms-spring-meeting-formalization-and-proof-assistants"
"ICERM: Techniques and Tools for the Formalization of Analysis","ICERM, Providence, RI","2026-05-11","2026-05-15","https://icerm.brown.edu/program/topical_workshop/tw-26-ttfa"
